Year,Average population,Live births1,Deaths1,Natural change1,Crude birth rate (per 1000),Crude death rate (per 1000),Natural change (per 1000),Fertility rates
1950,"6,703,000","254,169","79,005","175,164",37.9,11.8,26.1
1951,"6,946,000","272,354","80,553","191,801",39.2,11.6,27.6
1952,"7,133,000","265,235","85,241","179,994",37.2,12.0,25.2
1953,"7,271,000","262,758","73,930","188,828",36.1,10.2,26.0
1954,"7,528,000","278,420","76,092","202,328",37.0,10.1,26.9
1955,"7,992,000","299,854","73,283","226,571",37.5,9.2,28.3
1956,"8,426,000","305,430","64,807","240,623",36.3,7.7,28.6
1957,"8,722,000","326,766","68,050","258,716",37.5,7.8,29.7
1958,"9,077,000","336,020","62,680","273,340",37.0,6.9,30.1
1959,"9,516,000","349,794","69,602","280,192",36.8,7.3,29.4
1960,"9,996,000","372,595","65,667","306,928",37.2,6.6,30.7
1961,"10,480,000","377,789","68,610","309,179",36.1,6.5,29.5
1962,"10,958,000","369,002","70,952","298,050",33.7,6.5,27.2
1963,"11,321,000","346,084","67,218","278,866",30.6,5.9,24.6
1964,"11,610,000","324,412","66,197","258,215",27.9,5.7,22.2
1965,"11,909,000","314,533","69,803","244,730",26.4,5.9,20.6
1966,"12,185,000","307,905","69,402","238,503",25.3,5.7,19.6
1967,"12,456,000","301,715","71,824","229,891",24.2,5.8,18.5
1968,"12,694,000","296,882","73,496","223,386",23.4,5.8,17.6
1969,"12,901,000","297,129","78,660","218,469",23.0,6.1,16.9
1970,"13,106,000","301,451","77,619","223,832",23.0,5.9,17.1
1971,"13,321,000","317,423","79,881","237,542",23.8,6.0,17.8
1972,"13,534,000","318,551","85,122","233,429",23.5,6.3,17.2
1973,"13,742,000","321,075","90,282","230,793",23.4,6.6,16.8
1974,"13,955,000","338,291","93,582","244,709",24.2,6.7,17.5
1975,"14,136,000","343,668","101,865","241,803",24.3,7.2,17.1
1976,"14,279,000","350,362","103,892","246,470",24.5,7.3,17.3
1977,"14,425,000","349,379","105,376","244,003",24.2,7.3,16.9
1978,"14,589,000","355,337","107,293","248,044",24.4,7.4,17.0
1979,"14,743,000","354,320","113,687","240,633",24.0,7.7,16.3
1980,"14,884,000","356,013","119,078","236,935",23.9,8.0,15.9
1981,"15,033,000","367,950","120,974","246,976",24.5,8.0,16.4
1982,"15,185,000","373,416","120,165","253,251",24.6,7.9,16.7
1983,"15,334,000","378,577","123,807","254,770",24.7,8.1,16.6
1984,"15,481,000","399,403","129,796","269,607",25.8,8.4,17.4,3.04
1985,"15,623,000","396,929","126,786","270,143",25.4,8.1,17.3,3.02
1986,"15,776,000","410,846","119,149","291,697",26.0,7.6,18.5,3.13
1987,"15,948,000","417,139","122,835","294,304",26.2,7.7,18.5,3.19
1988,"16,188,000","407,116","126,898","280,218",25.3,7.9,17.4,3.13
1989,"16,243,000","382,269","126,378","255,891",23.5,7.8,15.8,2.81
1990,"16,328,000","362,081","128,576","233,505",22.2,7.9,14.3,2.72
1991,"16,405,000","353,174","134,324","218,850",21.5,8.2,13.3,2.67
1992,"16,439,000","337,612","137,518","200,094",20.5,8.4,12.2,2.62
1993,"16,381,000","315,482","156,070","159,412",19.3,9.5,9.7,2.54
1994,"16,146,000","305,624","160,339","145,285",18.9,9.9,9.0,2.43
1995,"15,816,000","276,125","168,656","107,469",17.5,10.7,6.8,2.21
1996,"15,578,000","253,175","166,028","87,147",16.3,10.7,5.6,2.02
1997,"15,334,000","232,356","160,138","72,218",15.2,10.4,4.7,1.93
1998,"15,072,000","222,380","154,314","68,066",14.8,10.2,4.5,1.81
1999,"14,939,000","217,578","147,416","70,162",14.6,9.9,4.7,1.80
2000,"14,915,000","222,054","149,778","72,276",14.9,10.0,4.8,1.88
2001,"14,910,000","221,487","147,876","73,611",14.9,9.9,4.9,1.84
2002,"14,931,000","227,171","149,381","77,790",15.2,10.0,5.2,1.88
2003,"15,002,000","247,946","155,277","92,669",16.5,10.4,6.2,2.03
2004,"15,126,000","273,028","152,250","120,778",18.0,10.1,8.0,2.21
2005,"15,281,000","278,977","157,121","121,856",18.3,10.3,8.0,2.22
2006,"15,463,000","301,756","157,210","144,546",19.5,10.2,9.3,2.36
2007,"15,659,000","321,963","158,297","163,666",20.6,10.1,10.5,2.47
2008,"15,870,000","356,575","152,706","203,869",22.5,9.6,12.8,2.68
2009,"16,093,000","356,378","143,238","213,140",22.1,8.9,13.2,2.55
2010,"16,322,000","367,942","146,370","221,572",22.5,8.9,13.6,2.59
2011,"16,557,000","372,801","144,944","227,857",22.5,8.7,13.8,2.59
2012,"16,791,000","381,005","142,880","238,125",22.7,8.5,14.2,2.62
2013,"17,035,000","393,421","137,630","255,791",22.7,8.0,14.7,2.64
2014,"17,289,000","401,066","132,236","268,830",23.1,7.6,15.5,2.73
2015,"17,557,000","398,561","131,867","266,694",22.7,7.5,15.2,2.74
2016,"17,818,000","400,940","132,373","277,567",22.5,7.4,15.6,2.77
2017,"18,014,000","390,520","130,033","260,487",21.7,7.2,14.5,2.75
2018,"18,137,000","397,947","130,515","267,432",21.8,7.1,14.7,2.84
2019,"18,396,000","403,064","133,489","269,575",21.8,7.2,14.6,2.90
2020,"18,632,000","425,625","162,613","263,012",22.4,8.6,13.8,3.13
2021,"18,880,000","450,652","183,357","267,295",23.4,9.5,13.9,3.32
2022,"19,765,004","403,500","134,709","268,791",20.3,6.8,13.5,3.05
